,mean,std,min,max
accuracy,0.8698837608368026,0.003906863606008945,0.8661682856588627,0.8739573541041825
balanced_accuracy,0.7043316986285536,0.0033132584413139952,0.7012798833805578,0.707855730189652
macro_precision,0.7273269054797806,0.0062019712495262015,0.7232075784263858,0.7344598131214727
macro_recall,0.7043316986285536,0.0033132584413139952,0.7012798833805578,0.707855730189652
macro_f1,0.7112603366017384,0.003251574759468205,0.7080689492161446,0.7145689293962676
weighted_f1,0.8694304774953657,0.003080040560059282,0.8660957643971021,0.872168542345489
