accuracy,balanced_accuracy,macro_precision,macro_recall,macro_f1,weighted_f1,architecture
0.8577372453287888,0.6875088267007494,0.6961175210052974,0.6875088267007494,0.686914645860934,0.851945861520623,stacked
0.8496614619317396,0.6823702609179707,0.6741844135563041,0.6823702609179707,0.674947824785716,0.8468365953165116,single
0.8400503584972288,0.6760169888483084,0.6553100104912848,0.6760169888483084,0.6626916621387959,0.8395557122796578,attention
0.8323584051095451,0.6681225939516484,0.6451169764546727,0.6681225939516484,0.6553781395669673,0.8333517999708153,bidirectional
