,precision,recall,f1-score,support
W,0.9608039033457249,0.9614964309795624,0.9611500424176922,43009.0
N1,0.43331856446610545,0.338291248702871,0.37995337995337997,2891.0
N2,0.7666519304450339,0.7906534954407295,0.7784677540026934,13160.0
N3,0.8420573509330905,0.647985989492119,0.7323832145684878,2855.0
REM,0.6694673164174089,0.7808702469619757,0.7208902560390844,5102.0
accuracy,0.8739573541041825,0.8739573541041825,0.8739573541041825,0.8739573541041825
macro avg,0.7344598131214727,0.7038594823154515,0.7145689293962676,67017.0
weighted avg,0.872685653473,0.8739573541041825,0.872168542345489,67017.0
