Stage,Mean F1,Std F1
W,0.9472220942472124,0.00128562314513546
N1,0.34185716659839177,0.004510796288630758
N2,0.6957280258170347,0.0027184551566077093
N3,0.7309333468721914,0.004532561889409703
REM,0.547217202300364,0.002348311558206233
