,mean,std,min,max
accuracy,0.8240124246825523,0.002284767658533936,0.8224161981046607,0.8266296610535095
balanced_accuracy,0.6539906380850479,0.0024177280476368425,0.6517187751830541,0.6565316987572334
macro_precision,0.6664808297043615,0.003992780232280233,0.6626687554038226,0.6706326097447824
macro_recall,0.6539906380850479,0.0024177280476368425,0.6517187751830541,0.6565316987572334
macro_f1,0.6525915671670388,0.000720695451844938,0.651955958498092,0.6533745630204372
weighted_f1,0.8233501444955215,0.0012130940269076088,0.8220718081012464,0.8244852856409361
