Stage,F1 Mean,F1 SD,F1 Mean ± SD,ROC-AUC Mean,ROC-AUC SD,ROC-AUC Mean ± SD
W,0.9472220942472124,0.00128562314513546,0.9472 ± 0.0013,0.9812622492023667,0.0006791787473385489,0.9813 ± 0.0007
N1,0.34185716659839177,0.004510796288630758,0.3419 ± 0.0045,0.8963939127718037,0.0009980504119854704,0.8964 ± 0.0010
N2,0.6957280258170347,0.0027184551566077093,0.6957 ± 0.0027,0.9383500867441364,0.0014833609005204917,0.9384 ± 0.0015
N3,0.7309333468721914,0.004532561889409703,0.7309 ± 0.0045,0.9882792479985149,0.00026842867106998753,0.9883 ± 0.0003
REM,0.547217202300364,0.002348311558206233,0.5472 ± 0.0023,0.9205111017141517,0.000647604251052154,0.9205 ± 0.0006
