accuracy,loss,val_accuracy,val_loss,learning_rate
0.8318213224411011,0.4576808512210846,0.7188675403594971,0.7221409678459167,0.0010000000474974513
0.8669657111167908,0.36253827810287476,0.7307509183883667,0.6991724371910095,0.0010000000474974513
0.8757244348526001,0.3386400043964386,0.7656180262565613,0.61355060338974,0.0010000000474974513
0.8810247182846069,0.32393619418144226,0.7799425721168518,0.5816575288772583,0.0010000000474974513
0.8843421339988708,0.3128718137741089,0.76761394739151,0.6319049596786499,0.0010000000474974513
0.8860963582992554,0.3064861297607422,0.7771790027618408,0.6028615832328796,0.0010000000474974513
0.8861496448516846,0.3082633316516876,0.7920101881027222,0.5503514409065247,0.0005000000237487257
0.8876501321792603,0.30282244086265564,0.7875117063522339,0.5667761564254761,0.0005000000237487257
0.8885805010795593,0.2998034954071045,0.789753258228302,0.5532093644142151,0.0005000000237487257
0.8859178423881531,0.305671364068985,0.8077318668365479,0.5007173418998718,0.0002500000118743628
0.8876281976699829,0.30206915736198425,0.8128752112388611,0.4868165850639343,0.0002500000118743628
0.889216423034668,0.30005598068237305,0.8121996521949768,0.4908082187175751,0.0002500000118743628
0.8889188170433044,0.29914936423301697,0.813596785068512,0.4846765697002411,0.0002500000118743628
0.889811635017395,0.2966608703136444,0.8095435500144958,0.49733373522758484,0.0002500000118743628
0.8900089859962463,0.2956009805202484,0.8118772506713867,0.4906972646713257,0.0002500000118743628
0.8871175646781921,0.30300524830818176,0.8257718682289124,0.45722392201423645,0.0001250000059371814
0.8881294131278992,0.2998068630695343,0.8304392695426941,0.44571352005004883,0.0001250000059371814
0.8881513476371765,0.2988753318786621,0.8296408653259277,0.4484542906284332,0.0001250000059371814
0.8887872695922852,0.2973616123199463,0.8267391324043274,0.4561077952384949,0.0001250000059371814
0.8863563537597656,0.3049600422382355,0.8375784754753113,0.43676233291625977,6.25000029685907e-05
0.8865506052970886,0.3025493323802948,0.8408794403076172,0.42834895849227905,6.25000029685907e-05
0.8870549201965332,0.30187705159187317,0.8398200869560242,0.4334646165370941,6.25000029685907e-05
0.8873807191848755,0.30147573351860046,0.8396972417831421,0.4328266382217407,6.25000029685907e-05
0.8842951655387878,0.3094552755355835,0.8500145673751831,0.4154258966445923,3.125000148429535e-05
0.8846961259841919,0.30711629986763,0.8502448797225952,0.41599005460739136,3.125000148429535e-05
0.8850563764572144,0.30655428767204285,0.8519490957260132,0.41205957531929016,3.125000148429535e-05
0.8854040503501892,0.30559810996055603,0.8505672812461853,0.41624608635902405,3.125000148429535e-05
0.8854040503501892,0.30546432733535767,0.8512274622917175,0.4136941730976105,3.125000148429535e-05
0.883364737033844,0.3113303482532501,0.8577372431755066,0.40276163816452026,1.5625000742147677e-05
0.8844172954559326,0.3085833787918091,0.8580750226974487,0.4027974605560303,1.5625000742147677e-05
