accuracy,loss,val_accuracy,val_loss,learning_rate
0.8325614929199219,0.44781219959259033,0.6960455775260925,0.814207911491394,0.0010000000474974513
0.8605457544326782,0.3742923438549042,0.723015546798706,0.7507229447364807,0.0010000000474974513
0.8685741424560547,0.3540879786014557,0.7342891693115234,0.7406628131866455,0.0010000000474974513
0.8744006156921387,0.33705273270606995,0.7596837878227234,0.6829660534858704,0.0010000000474974513
0.879205048084259,0.32454803586006165,0.7571688890457153,0.6953811049461365,0.0010000000474974513
0.881473183631897,0.3179720640182495,0.7474561929702759,0.7269654870033264,0.0010000000474974513
0.8809842467308044,0.3206992447376251,0.7621119022369385,0.6878383159637451,0.0005000000237487257
0.8821924328804016,0.31513693928718567,0.7701046466827393,0.6700966954231262,0.0005000000237487257
0.8840473294258118,0.3109237551689148,0.7660576701164246,0.6651621460914612,0.0005000000237487257
0.8847823143005371,0.30784156918525696,0.7704948782920837,0.6584261059761047,0.0005000000237487257
0.8861703276634216,0.3045247793197632,0.7732121348381042,0.6586535573005676,0.0005000000237487257
0.8869590163230896,0.3024890720844269,0.773876965045929,0.6452808380126953,0.0005000000237487257
0.8878927230834961,0.2990863025188446,0.7741660475730896,0.6458246111869812,0.0005000000237487257
0.8887760043144226,0.29720932245254517,0.775770366191864,0.6488851308822632,0.0005000000237487257
0.8869432210922241,0.3027133643627167,0.7873908877372742,0.6030694842338562,0.0002500000118743628
0.8869495391845703,0.3008785545825958,0.7842400670051575,0.6105107665061951,0.0002500000118743628
0.8880378603935242,0.29904288053512573,0.7884748578071594,0.6106265783309937,0.0002500000118743628
0.8840473294258118,0.3090124726295471,0.7887928485870361,0.5853094458580017,0.0001250000059371814
0.885283887386322,0.30601179599761963,0.7916401624679565,0.5734946727752686,0.0001250000059371814
0.8856813907623291,0.30473896861076355,0.7904260754585266,0.5787052512168884,0.0001250000059371814
0.8857760429382324,0.30399855971336365,0.7882725596427917,0.587591826915741,0.0001250000059371814
0.8819621205329895,0.3151909112930298,0.8090564608573914,0.518962025642395,6.25000029685907e-05
0.8829463720321655,0.31242942810058594,0.8109209537506104,0.5135570764541626,6.25000029685907e-05
0.8827918171882629,0.3118826448917389,0.8109498620033264,0.5153424739837646,6.25000029685907e-05
0.8837760090827942,0.31046250462532043,0.8101693987846375,0.5156140923500061,6.25000029685907e-05
0.879063069820404,0.32199764251708984,0.8339741230010986,0.4454999566078186,3.125000148429535e-05
0.8799085021018982,0.31842857599258423,0.8351737260818481,0.4429278075695038,3.125000148429535e-05
0.88038170337677,0.3176719546318054,0.8354339003562927,0.4427034556865692,3.125000148429535e-05
0.8804795145988464,0.3170602321624756,0.8360120058059692,0.4414476752281189,3.125000148429535e-05
0.8812050223350525,0.31591564416885376,0.8357952237129211,0.44195908308029175,3.125000148429535e-05
