model,accuracy,balanced_accuracy,macro_precision,macro_recall,macro_f1,weighted_f1
LSTM(32) — 20 epochs,0.8661533640718027,0.7003783405047282,0.7251142674136893,0.7003783405047282,0.7081117839433387,0.8670473074404442
LSTM(64) — 20 epochs,0.8602,0.6985,0.7152,0.6985,0.7017,0.8614
LSTM(128) — 20 epochs,0.8331915782562633,0.665565812448816,0.6721957149495197,0.665565812448816,0.6545540801729948,0.8413027437922835
