model,accuracy,balanced_accuracy,macro_precision,macro_recall,macro_f1,weighted_f1
LSTM — 5 epochs,0.8275836737092651,0.665747198724405,0.6618661438967937,0.665747198724405,0.6553537008363298,0.8305964049755611
LSTM — 10 epochs,0.8532417663565205,0.7020806593552449,0.7056698196693276,0.7020806593552449,0.6998634461783935,0.8548123636796323
LSTM — 20 epochs,0.8695405643344226,0.7051331651943347,0.7267823562455311,0.7051331651943347,0.7108602387613381,0.8695063714528605
