seed,W_f1,N1_f1,N2_f1,N3_f1,REM_f1
42,0.9485125076821523,0.33715498938428873,0.6982350408953939,0.7358897027143473,0.547080574426004
123,0.9459413155460121,0.34614846917377323,0.6928386225030129,0.729911197747455,0.5449401875202069
456,0.9472124595134725,0.3422680412371134,0.6961104140526976,0.7269991401547722,0.549630844954881
