Stage / Average,ROC-AUC Mean,Std
W,0.9812622492023667,0.0006791787473385489
N1,0.8963939127718037,0.0009980504119854704
N2,0.9383500867441364,0.0014833609005204917
N3,0.9882792479985149,0.00026842867106998753
REM,0.9205111017141517,0.000647604251052154
Macro,0.9449593196861946,0.00014455543446777015
Weighted,0.9634466445978499,0.0005676770705623784
Micro,0.9718142008531875,0.0006739221564230748
