seed,macro_roc_auc,weighted_roc_auc,micro_roc_auc,W_roc_auc,N1_roc_auc,N2_roc_auc,N3_roc_auc,REM_roc_auc
42,0.945108068618971,0.9638480189130996,0.972592363435605,0.9816047095344702,0.8954821546111198,0.9398323882218561,0.9885689898017176,0.920052100925692
123,0.9448193587129428,0.9627971465103942,0.9714293996801857,0.9804800162036389,0.8974602240082319,0.9368656686858985,0.988039029222999,0.9212518554439462
456,0.9449505317266699,0.963694768370056,0.9714208394437716,0.9817020218689907,0.8962393596960594,0.9383522033246546,0.9882297249708277,0.9202293487728173
