accuracy,loss,val_accuracy,val_loss,learning_rate
0.849661648273468,0.41202282905578613,0.7705368995666504,0.6342644691467285,0.0010000000474974513
0.8782243132591248,0.33055007457733154,0.7848682999610901,0.599496066570282,0.0010000000474974513
0.8876550793647766,0.3037584722042084,0.7877346277236938,0.5948531031608582,0.0010000000474974513
0.8932390809059143,0.28729212284088135,0.7859159111976624,0.6023251414299011,0.0010000000474974513
0.8974453806877136,0.27571821212768555,0.7913283705711365,0.606563925743103,0.0010000000474974513
0.8985558152198792,0.2715420424938202,0.7987487316131592,0.5822925567626953,0.0005000000237487257
0.9025139212608337,0.261144757270813,0.8058781027793884,0.5634272694587708,0.0005000000237487257
0.9034684300422668,0.25711727142333984,0.8019642233848572,0.571662425994873,0.0005000000237487257
0.9058516025543213,0.24969244003295898,0.8122217655181885,0.5475165843963623,0.0005000000237487257
0.9077288508415222,0.24387776851654053,0.8175614476203918,0.5379005074501038,0.0005000000237487257
0.9091606140136719,0.24025385081768036,0.8161647319793701,0.5448991656303406,0.0005000000237487257
0.910500168800354,0.23559416830539703,0.8247199058532715,0.5190779566764832,0.0005000000237487257
0.9122691750526428,0.23150040209293365,0.8165720701217651,0.5490406155586243,0.0005000000237487257
0.9134432673454285,0.22784391045570374,0.8217663168907166,0.5365077257156372,0.0005000000237487257
0.9121642112731934,0.23102594912052155,0.8279644846916199,0.5194169282913208,0.0002500000118743628
0.9129946231842041,0.22769193351268768,0.8312672972679138,0.5055930614471436,0.0002500000118743628
0.9143564701080322,0.22388720512390137,0.823672354221344,0.5335336327552795,0.0002500000118743628
0.9153173565864563,0.22184547781944275,0.824938178062439,0.5282113552093506,0.0002500000118743628
0.9122310280799866,0.22854657471179962,0.8282263875007629,0.5167146921157837,0.0001250000059371814
0.9135419130325317,0.22557967901229858,0.8307725787162781,0.5109692215919495,0.0001250000059371814
0.911142885684967,0.2326291799545288,0.8342499732971191,0.4930991232395172,6.25000029685907e-05
0.9114546775817871,0.23064669966697693,0.8350356221199036,0.4872623085975647,6.25000029685907e-05
0.9122055768966675,0.22899888455867767,0.8338425755500793,0.493508517742157,6.25000029685907e-05
0.9129055738449097,0.22715893387794495,0.8363451361656189,0.4863097071647644,6.25000029685907e-05
0.913338303565979,0.22637778520584106,0.8358067870140076,0.48939386010169983,6.25000029685907e-05
0.9138791561126709,0.2246403694152832,0.8371890187263489,0.48636728525161743,6.25000029685907e-05
0.9115819334983826,0.23165886104106903,0.8461661338806152,0.4552822709083557,3.125000148429535e-05
0.9122214913368225,0.2296556681394577,0.8473301529884338,0.45245930552482605,3.125000148429535e-05
0.9124441742897034,0.2278665006160736,0.8467481732368469,0.45384252071380615,3.125000148429535e-05
0.9129278063774109,0.22760771214962006,0.8473301529884338,0.45271092653274536,3.125000148429535e-05
